id,sku,name_en,name_ar,category,price,stock_quantity,description_en,description_ar,image_url,barcode,expiry_date,is_active
1,MED-00001,Panadol Extra,بانادول إكسترا,Must Haves,20.0,15,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,62250239887.0,2026-09-13,1.0
4,SUP-00004,Centrum Men,سنتروم رجال,Vitamins,420.0,33,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622446953618.0,2026-12-28,1.0
5,MED-00005,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,60,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622268372484.0,2026-03-29,1.0
6,MED-00006,Panadol Extra,بانادول إكسترا,Diabetes,45.0,53,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622718136887.0,2027-07-30,1.0
7,MED-00007,Cataflam 50mg,كاتافلام 50 مجم,Must Haves,38.5,163,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622115913763.0,2026-06-24,1.0
8,COS-00008,Nivea Soft Cream,نيفيا سوفت كريم,Personal Care,85.0,61,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622456468990.0,2027-07-07,1.0
9,SUP-00009,Centrum Men,سنتروم رجال,Vitamins,420.0,13,Multivitamin for men.,مكمل غذائي متعدد الفيتامينات.,https://placehold.co/400x400/008080/ffffff?text=Product,622669398601.0,2026-11-11,1.0
10,MED-00010,Augmentin 1g,أوجمانتين 1 جم,Medicine,90.0,85,Broad spectrum antibiotic.,مضاد حيوي واسع المجال.,https://placehold.co/400x400/008080/ffffff?text=Product,622753384924.0,2027-09-27,1.0
11,MED-00011,Panadol Extra,بانادول إكسترا,Medicine,45.0,85,For tough pain relief.,لتسكين الآلام الشديدة.,https://placehold.co/400x400/008080/ffffff?text=Product,622538761148.0,2026-11-25,1.0
12,MED-00012,Cataflam 50mg,كاتافلام 50 مجم,Medicine,38.5,10,Fast acting anti-inflammatory.,مضاد للالتهابات سريع المفعول.,https://placehold.co/400x400/008080/ffffff?text=Product,622787724884.0,2027-05-03,1.0
13,COS-00013,Nivea Soft Cream,نيفيا سوفت كريم,Cosmetics,85.0,41,Moisturizing cream.,كريم مرطب.,https://placehold.co/400x400/008080/ffffff?text=Product,622489395254.0,2027-11-21,1.0
